model,system,data_type,batch_size,context_length,variant,variant_label,num_layers,attention_core_ms,q_proj_ms,k_proj_ms,v_proj_ms,o_proj_ms,attention_total_ms,attn_norm_ms,residual_add1_ms,ffn_norm_ms,gate_proj_ms,up_proj_ms,silu_ms,gate_mul_ms,down_proj_ms,residual_add2_ms,ffn_total_ms,non_attention_per_layer_ms,layer_total_ms,decoder_stack_ms,final_norm_ms,lm_head_ms,model_total_ms,attention_share_of_layer,attention_share_of_model,q_mul_k_ms,softmax_ms,softmax_scale,a_mul_v_ms,fused_core_ms,attention_useful_tflops_core,attention_useful_tflops_total,model_prefill_tokens_per_s,decoder_stack_tokens_per_s
llama3_8b_int8,H100 INT8,int8,1,65536,baseline,FlashAttention,32,52.780224104290774,1.1797475438142107,1.1797475438142107,1.1797475438142107,1.1797475438142107,57.499214279547616,0.06310543037209705,0.00452635759302426,0.06310543037209705,4.076616403349737,4.076616403349737,0.1717380126046793,0.01584225157558491,4.076616403349737,0.00452635759302426,12.485061262194597,12.552693050159718,70.05190732970733,2241.6610345506347,0.06310543037209705,0.021553638953638952,2241.7456936199605,0.8208086898893555,0.8207776922164355,22.885263990330657,52.75922410429077,1.0,19.62628652335319,0.0,1333.2407236206368,1223.820969718782,29234.35971641046,29235.463787743185
llama3_8b_int8,H100 INT8,int8,1,65536,customsa,FlashAttention-CustomSA,32,40.74294188034188,1.1797475438142107,1.1797475438142107,1.1797475438142107,1.1797475438142107,45.46193205559872,0.06310543037209705,0.00452635759302426,0.06310543037209705,4.076616403349737,4.076616403349737,0.1717380126046793,0.01584225157558491,4.076616403349737,0.00452635759302426,12.485061262194597,12.552693050159718,58.01462510575844,1856.46800338427,0.06310543037209705,0.021553638953638952,1856.552662453596,0.7836288172632911,0.7835930836761389,0.0,0.0,1.0,0.0,40.72194188034188,1727.139497789096,1547.8608364379436,35299.83357077977,35301.44332168956
llama3_8b_int8,H100 INT8,int8,1,65536,illm,FlashAttention + I-LLM,32,87.23485810239143,1.1797475438142107,1.1797475438142107,1.1797475438142107,1.1797475438142107,91.95384827764828,0.06310543037209705,0.00452635759302426,0.06310543037209705,4.076616403349737,4.076616403349737,0.1717380126046793,0.01584225157558491,4.076616403349737,0.00452635759302426,12.485061262194597,12.552693050159718,104.506541327808,3344.209322489856,0.06310543037209705,0.021553638953638952,3344.2939815591817,0.8798860541103795,0.8798637802508251,22.885263990330657,87.21385810239143,1.653,19.62628652335319,0.0,806.6585503591818,765.26154691417,19596.363346456073,19596.85943079862
llama3_8b_int8,H100 INT8,int8,1,65536,intattention,FlashAttention + IntAttention,32,65.55360523180524,1.1797475438142107,1.1797475438142107,1.1797475438142107,1.1797475438142107,70.27259540706208,0.06310543037209705,0.00452635759302426,0.06310543037209705,4.076616403349737,4.076616403349737,0.1717380126046793,0.01584225157558491,4.076616403349737,0.00452635759302426,12.485061262194597,12.552693050159718,82.8252884572218,2650.4092306310977,0.06310543037209705,0.021553638953638952,2650.4938897004236,0.848443714667616,0.8484166146408858,22.885263990330657,65.53260523180523,1.242,19.62628652335319,0.0,1073.45345734734,1001.3682256937425,24725.957775140283,24726.74756886317
llama3_8b_int8,H100 INT8,int8,1,131072,baseline,FlashAttention,32,211.05789641716308,2.3384950876284214,2.3384950876284214,2.3384950876284214,2.3384950876284214,220.41187676767677,0.08121086074419409,0.00905271518604852,0.08121086074419409,8.132232806699474,8.132232806699474,0.29847602520935856,0.03168450315116982,8.132232806699474,0.00905271518604852,24.817122524389188,24.90738610031943,245.3192628679962,7850.216411775878,0.08121086074419409,0.021553638953638952,7850.319176275576,0.8984695053738122,0.8984577439705954,91.54105596132263,211.0368964171631,1.0,78.50514609341276,0.0,1333.6386910362792,1277.0408783703715,16696.39119847665,16696.609765226694
llama3_8b_int8,H100 INT8,int8,1,131072,customsa,FlashAttention-CustomSA,32,160.36364615384616,2.3384950876284214,2.3384950876284214,2.3384950876284214,2.3384950876284214,169.71762650435986,0.08121086074419409,0.00905271518604852,0.08121086074419409,8.132232806699474,8.132232806699474,0.29847602520935856,0.03168450315116982,8.132232806699474,0.00905271518604852,24.817122524389188,24.90738610031943,194.62501260467928,6228.000403349737,0.08121086074419409,0.021553638953638952,6228.103167849435,0.8720237149018913,0.8720093263989441,0.0,0.0,1.0,0.0,160.34264615384618,1755.2293394515407,1658.4899430197088,21045.251895732355,21045.59915081296
llama3_8b_int8,H100 INT8,int8,1,131072,illm,FlashAttention + I-LLM,32,296.1172083052749,2.3384950876284214,2.3384950876284214,2.3384950876284214,2.3384950876284214,305.4711886557886,0.08121086074419409,0.00905271518604852,0.08121086074419409,8.132232806699474,8.132232806699474,0.29847602520935856,0.03168450315116982,8.132232806699474,0.00905271518604852,24.817122524389188,24.90738610031943,330.37857475610804,10572.114392195457,0.08121086074419409,0.021553638953638952,10572.217156695155,0.9246095600518085,0.9246005726239638,91.54105596132263,296.09620830527496,1.403,78.50514609341276,0.0,950.552581261931,921.4452529853083,12397.77787925922,12397.89838982067
llama3_8b_int8,H100 INT8,int8,1,131072,intattention,FlashAttention + IntAttention,32,267.6192608995942,2.3384950876284214,2.3384950876284214,2.3384950876284214,2.3384950876284214,276.9732412501079,0.08121086074419409,0.00905271518604852,0.08121086074419409,8.132232806699474,8.132232806699474,0.29847602520935856,0.03168450315116982,8.132232806699474,0.00905271518604852,24.817122524389188,24.90738610031943,301.88062735042735,9660.180075213675,0.08121086074419409,0.021553638953638952,9660.282839713373,0.9174925985846498,0.9174828384493169,91.54105596132263,267.5982608995942,1.268,78.50514609341276,0.0,1051.773985790433,1016.2533226683909,13568.132752921445,13568.277090021098
llama3_8b_int8,H100 INT8,int8,1,262144,baseline,FlashAttention,32,844.1685856686523,4.655990175256843,4.655990175256843,4.655990175256843,4.655990175256843,862.7925463696797,0.11742172148838817,0.01810543037209704,0.11742172148838817,16.24346561339895,16.24346561339895,0.5519520504187171,0.06336900630233964,16.24346561339895,0.01810543037209704,49.4812450487784,49.616772200638884,912.4093185703186,29197.098194250197,0.11742172148838817,0.021553638953638952,29197.23716961064,0.9456200510113324,0.9456155499728722,366.1642238452905,844.1475856686524,1.0,314.02058437365105,0.0,1333.7382200153977,1304.9485784039343,8978.383758612865,8978.426494850239
llama3_8b_int8,H100 INT8,int8,1,262144,customsa,FlashAttention-CustomSA,32,636.301341880342,4.655990175256843,4.655990175256843,4.655990175256843,4.655990175256843,654.9253025813694,0.11742172148838817,0.01810543037209704,0.11742172148838817,16.24346561339895,16.24346561339895,0.5519520504187171,0.06336900630233964,16.24346561339895,0.01810543037209704,49.4812450487784,49.616772200638884,704.5420747820083,22545.346393024265,0.11742172148838817,0.021553638953638952,22545.485368384707,0.9295758564653632,0.9295701263540971,0.0,0.0,1.0,0.0,636.2803418803419,1769.4444954578648,1719.127207950161,11627.338942438637,11627.41061637047
llama3_8b_int8,H100 INT8,int8,1,262144,illm,FlashAttention + I-LLM,32,1132.9864109643445,4.655990175256843,4.655990175256843,4.655990175256843,4.655990175256843,1151.6103716653718,0.11742172148838817,0.01810543037209704,0.11742172148838817,16.24346561339895,16.24346561339895,0.5519520504187171,0.06336900630233964,16.24346561339895,0.01810543037209704,49.4812450487784,49.616772200638884,1201.2271438660107,38439.26860371234,0.11742172148838817,0.021553638953638952,38439.40757907278,0.9586949292196703,0.9586914631159572,366.1642238452905,1132.9654109643443,1.342,314.02058437365105,0.0,993.7452876282173,977.6743372104514,6819.66805707788,6819.692713265698
llama3_8b_int8,H100 INT8,int8,1,262144,intattention,FlashAttention + IntAttention,32,1074.75934688768,4.655990175256843,4.655990175256843,4.655990175256843,4.655990175256843,1093.3833075887073,0.11742172148838817,0.01810543037209704,0.11742172148838817,16.24346561339895,16.24346561339895,0.5519520504187171,0.06336900630233964,16.24346561339895,0.01810543037209704,49.4812450487784,49.616772200638884,1143.0000797893463,36576.00255325908,0.11742172148838817,0.021553638953638952,36576.14152861952,0.9565907535108981,0.9565871188315905,366.1642238452905,1074.73834688768,1.273,314.02058437365105,0.0,1047.58326606141,1029.739432665775,7167.076379417488,7167.1036116723435
llama3_8b_int8,H100 INT8,int8,1,524288,baseline,FlashAttention,32,3376.611342674609,9.290980350513685,9.290980350513685,9.290980350513685,9.290980350513685,3413.775264076664,0.18984344297677633,0.03621086074419408,0.18984344297677633,32.4659312267979,32.4659312267979,1.0589041008374342,0.1267380126046793,32.4659312267979,0.03621086074419408,98.80949009755678,99.03554440127775,3512.8108084779415,112409.94587129413,0.18984344297677633,0.021553638953638952,112410.15726837606,0.9718073218852944,0.9718054943170653,1464.656895381162,3376.5903426746095,1.0,1256.0823374946042,0.0,1333.7631045814117,1319.243148417563,4664.062507699169,4664.071278891046
llama3_8b_int8,H100 INT8,int8,1,524288,customsa,FlashAttention-CustomSA,32,2534.961882051282,9.290980350513685,9.290980350513685,9.290980350513685,9.290980350513685,2572.1258034533366,0.18984344297677633,0.03621086074419408,0.18984344297677633,32.4659312267979,32.4659312267979,1.0589041008374342,0.1267380126046793,32.4659312267979,0.03621086074419408,98.80949009755678,99.03554440127775,2671.161347854614,85477.16313134765,0.18984344297677633,0.021553638953638952,85477.37452842959,0.9629241623757324,0.9629217809343372,0.0,0.0,1.0,0.0,2534.940882051282,1776.5946144035113,1750.9250991238307,6133.646510464859,6133.661679837899
llama3_8b_int8,H100 INT8,int8,1,524288,illm,FlashAttention + I-LLM,32,4474.524640438574,9.290980350513685,9.290980350513685,9.290980350513685,9.290980350513685,4511.6885618406295,0.18984344297677633,0.03621086074419408,0.18984344297677633,32.4659312267979,32.4659312267979,1.0589041008374342,0.1267380126046793,32.4659312267979,0.03621086074419408,98.80949009755678,99.03554440127775,4610.724106241907,147543.17139974103,0.18984344297677633,0.021553638953638952,147543.38279682296,0.9785206093187825,0.97851920731486,1464.656895381162,4474.503640438574,1.325,1256.0823374946042,0.0,1006.4978940263633,998.2071159479959,3553.4497722746364,3553.454863590659
llama3_8b_int8,H100 INT8,int8,1,524288,intattention,FlashAttention + IntAttention,32,4319.25246956747,9.290980350513685,9.290980350513685,9.290980350513685,9.290980350513685,4356.416390969525,0.18984344297677633,0.03621086074419408,0.18984344297677633,32.4659312267979,32.4659312267979,1.0589041008374342,0.1267380126046793,32.4659312267979,0.03621086074419408,98.80949009755678,99.03554440127775,4455.451935370803,142574.4619318657,0.18984344297677633,0.021553638953638952,142574.67332894763,0.9777720541399948,0.9777706043863028,1464.656895381162,4319.2314695674695,1.279,1256.0823374946042,0.0,1042.6803385775424,1033.7853922104573,3677.2870507678817,3677.292503131099
