model,metric,variant,paper,reproduced,error,tolerance,pass
Qwen2.5-7B,hellaswag,int8_pinn8,0.7504481179047998,0.7504481179047998,0.0,0.005,True
Qwen2.5-7B,hellaswag,int8_pinn16,0.7531368253335989,0.7531368253335989,0.0,0.005,True
Qwen2.5-7B,hellaswag,int8_pinn32,0.7501493726349333,0.7501493726349333,0.0,0.005,True
Qwen2.5-7B,piqa,fp16_exact,0.7959738846572362,0.7959738846572362,0.0,0.005,True
Qwen2.5-7B,piqa,fp16_pinn8,0.795429815016322,0.795429815016322,0.0,0.005,True
Qwen2.5-7B,piqa,fp16_pinn16,0.7883569096844396,0.7883569096844396,0.0,0.005,True
Qwen2.5-7B,piqa,fp16_pinn32,0.79379760609358,0.79379760609358,0.0,0.005,True
Qwen2.5-7B,piqa,int8_exact,0.7861806311207835,0.7861806311207835,0.0,0.005,True
Qwen2.5-7B,piqa,int8_pinn8,0.778563656147987,0.778563656147987,0.0,0.005,True
Qwen2.5-7B,piqa,int8_pinn16,0.7774755168661589,0.7774755168661589,0.0,0.005,True
Qwen2.5-7B,piqa,int8_pinn32,0.7763873775843307,0.7763873775843307,0.0,0.005,True
Qwen2.5-7B,winogrande,fp16_exact,0.7119179163378059,0.7119179163378059,0.0,0.005,True
Qwen2.5-7B,winogrande,fp16_pinn8,0.7119179163378059,0.7119179163378059,0.0,0.005,True
Qwen2.5-7B,winogrande,fp16_pinn16,0.7205998421468035,0.7205998421468035,0.0,0.005,True
Qwen2.5-7B,winogrande,fp16_pinn32,0.7277032359905288,0.7277032359905288,0.0,0.005,True
Qwen2.5-7B,winogrande,int8_exact,0.6953433307024467,0.6953433307024467,0.0,0.005,True
Qwen2.5-7B,winogrande,int8_pinn8,0.696921862667719,0.696921862667719,0.0,0.005,True
Qwen2.5-7B,winogrande,int8_pinn16,0.6748224151539068,0.6748224151539068,0.0,0.005,True
Qwen2.5-7B,winogrande,int8_pinn32,0.6795580110497238,0.6795580110497238,0.0,0.005,True
Qwen3-8B,arc_easy,fp16_exact,0.8097643097643098,0.8097643097643098,0.0,0.005,True
Qwen3-8B,arc_easy,fp16_pinn8,0.8093434343434344,0.8093434343434344,0.0,0.005,True
Qwen3-8B,arc_easy,fp16_pinn16,0.8106060606060606,0.8106060606060606,0.0,0.005,True
Qwen3-8B,arc_easy,fp16_pinn32,0.8093434343434344,0.8093434343434344,0.0,0.005,True
Qwen3-8B,arc_easy,int8_exact,0.7912457912457912,0.7912457912457912,0.0,0.005,True
Qwen3-8B,arc_easy,int8_pinn8,0.7887205387205387,0.7887205387205387,0.0,0.005,True
Qwen3-8B,arc_easy,int8_pinn16,0.789983164983165,0.789983164983165,0.0,0.005,True
Qwen3-8B,arc_easy,int8_pinn32,0.7895622895622896,0.7895622895622896,0.0,0.005,True
Qwen3-8B,hellaswag,fp16_exact,0.7497510456084445,0.7497510456084445,0.0,0.005,True
Qwen3-8B,hellaswag,fp16_pinn8,0.750547699661422,0.750547699661422,0.0,0.005,True
Qwen3-8B,hellaswag,fp16_pinn16,0.7495518820952002,0.7495518820952002,0.0,0.005,True
Qwen3-8B,hellaswag,fp16_pinn32,0.7496514638518224,0.7496514638518224,0.0,0.005,True
Qwen3-8B,hellaswag,int8_exact,0.7399920334594702,0.7399920334594702,0.0,0.005,True
Qwen3-8B,hellaswag,int8_pinn8,0.7296355307707628,0.7296355307707628,0.0,0.005,True
Qwen3-8B,hellaswag,int8_pinn16,0.731925911173073,0.731925911173073,0.0,0.005,True
Qwen3-8B,hellaswag,int8_pinn32,0.7288388767177854,0.7288388767177854,0.0,0.005,True
Qwen3-8B,piqa,fp16_exact,0.7763873775843307,0.7763873775843307,0.0,0.005,True
Qwen3-8B,piqa,fp16_pinn8,0.7774755168661589,0.7774755168661589,0.0,0.005,True
Qwen3-8B,piqa,fp16_pinn16,0.7720348204570185,0.7720348204570185,0.0,0.005,True
Qwen3-8B,piqa,fp16_pinn32,0.7742110990206746,0.7742110990206746,0.0,0.005,True
Qwen3-8B,piqa,int8_exact,0.7671381936887922,0.7671381936887922,0.0,0.005,True
Qwen3-8B,piqa,int8_pinn8,0.7714907508161044,0.7714907508161044,0.0,0.005,True
Qwen3-8B,piqa,int8_pinn16,0.766050054406964,0.766050054406964,0.0,0.005,True
Qwen3-8B,piqa,int8_pinn32,0.7606093579978237,0.7606093579978237,0.0,0.005,True
Qwen3-8B,winogrande,fp16_exact,0.6740331491712708,0.6740331491712708,0.0,0.005,True
Qwen3-8B,winogrande,fp16_pinn8,0.6771902131018153,0.6771902131018153,0.0,0.005,True
Qwen3-8B,winogrande,fp16_pinn16,0.6771902131018153,0.6771902131018153,0.0,0.005,True
Qwen3-8B,winogrande,fp16_pinn32,0.6764009471191792,0.6764009471191792,0.0,0.005,True
Qwen3-8B,winogrande,int8_exact,0.6787687450670876,0.6787687450670876,0.0,0.005,True
Qwen3-8B,winogrande,int8_pinn8,0.6716653512233622,0.6716653512233622,0.0,0.005,True
Qwen3-8B,winogrande,int8_pinn16,0.6795580110497238,0.6795580110497238,0.0,0.005,True
Qwen3-8B,winogrande,int8_pinn32,0.6787687450670876,0.6787687450670876,0.0,0.005,True
