seq_len,n_rows,method,repetition,latency_ms
8192,8192,intattention_idx_softmax_u8,6,0.1281919926404953
8192,8192,intattention_idx_softmax_u8,7,0.1364479959011078
8192,8192,intattention_idx_softmax_u8,8,0.12572799623012543
8192,8192,intattention_idx_softmax_u8,9,0.12534399330615997
8192,8192,intattention_idx_softmax_u8,10,0.12591999769210815
8192,8192,intattention_idx_softmax_u8,11,0.12598399817943573
8192,8192,intattention_idx_softmax_u8,12,0.12585599720478058
8192,8192,intattention_idx_softmax_u8,13,0.1249919980764389
8192,8192,intattention_idx_softmax_u8,14,0.12691199779510498
8192,8192,intattention_idx_softmax_u8,15,0.1263040006160736
8192,8192,intattention_idx_softmax_u8,16,0.12495999783277512
8192,8192,intattention_idx_softmax_u8,17,0.1257600039243698
8192,8192,intattention_idx_softmax_u8,18,0.12518399953842163
8192,8192,intattention_idx_softmax_u8,19,0.1247360035777092
8192,8192,intattention_idx_softmax_u8,20,0.12703999876976013
8192,8192,memory_floor_1read_1write,1,0.06176000088453293
8192,8192,memory_floor_1read_1write,2,0.0613120011985302
8192,8192,memory_floor_1read_1write,3,0.06019200012087822
8192,8192,memory_floor_1read_1write,4,0.06188800185918808
8192,8192,memory_floor_1read_1write,5,0.06147199869155884
8192,8192,memory_floor_1read_1write,6,0.061216000467538834
8192,8192,memory_floor_1read_1write,7,0.06083200126886368
8192,8192,memory_floor_1read_1write,8,0.05951999872922897
8192,8192,memory_floor_1read_1write,9,0.06019200012087822
8192,8192,memory_floor_1read_1write,10,0.06047999858856201
8192,8192,memory_floor_1read_1write,11,0.060095999389886856
8192,8192,memory_floor_1read_1write,12,0.060095999389886856
8192,8192,memory_floor_1read_1write,13,0.05990400165319443
8192,8192,memory_floor_1read_1write,14,0.060864001512527466
8192,8192,memory_floor_1read_1write,15,0.060447998344898224
8192,8192,memory_floor_1read_1write,16,0.06028800085186958
8192,8192,memory_floor_1read_1write,17,0.06003199890255928
8192,8192,memory_floor_1read_1write,18,0.059647999703884125
8192,8192,memory_floor_1read_1write,19,0.06003199890255928
8192,8192,memory_floor_1read_1write,20,0.06032000109553337
16384,4096,fp_stream_softmax_u8,1,0.13078400492668152
16384,4096,fp_stream_softmax_u8,2,0.12601600587368011
16384,4096,fp_stream_softmax_u8,3,0.12399999797344208
16384,4096,fp_stream_softmax_u8,4,0.12383999675512314
16384,4096,fp_stream_softmax_u8,5,0.12319999933242798
16384,4096,fp_stream_softmax_u8,6,0.12220799922943115
16384,4096,fp_stream_softmax_u8,7,0.12348800152540207
16384,4096,fp_stream_softmax_u8,8,0.12249600142240524
16384,4096,fp_stream_softmax_u8,9,0.12230399996042252
16384,4096,fp_stream_softmax_u8,10,0.12249600142240524
16384,4096,fp_stream_softmax_u8,11,0.12166400253772736
16384,4096,fp_stream_softmax_u8,12,0.12191999703645706
16384,4096,fp_stream_softmax_u8,13,0.12275200337171555
16384,4096,fp_stream_softmax_u8,14,0.12099199742078781
16384,4096,fp_stream_softmax_u8,15,0.12172800302505493
16384,4096,fp_stream_softmax_u8,16,0.12278400361537933
16384,4096,fp_stream_softmax_u8,17,0.12256000190973282
16384,4096,fp_stream_softmax_u8,18,0.12179200351238251
16384,4096,fp_stream_softmax_u8,19,0.12240000069141388
16384,4096,fp_stream_softmax_u8,20,0.12198399752378464
16384,4096,illm_di_softmax_u8,1,0.20902399718761444
16384,4096,illm_di_softmax_u8,2,0.2078080028295517
16384,4096,illm_di_softmax_u8,3,0.20559999346733093
16384,4096,illm_di_softmax_u8,4,0.20531199872493744
16384,4096,illm_di_softmax_u8,5,0.20585599541664124
16384,4096,illm_di_softmax_u8,6,0.2054399996995926
16384,4096,illm_di_softmax_u8,7,0.20588800311088562
16384,4096,illm_di_softmax_u8,8,0.20614400506019592
16384,4096,illm_di_softmax_u8,9,0.20531199872493744
16384,4096,illm_di_softmax_u8,10,0.20496000349521637
16384,4096,illm_di_softmax_u8,11,0.20425599813461304
16384,4096,illm_di_softmax_u8,12,0.2048960030078888
16384,4096,illm_di_softmax_u8,13,0.2051520049571991
16384,4096,illm_di_softmax_u8,14,0.2054399996995926
16384,4096,illm_di_softmax_u8,15,0.2062399983406067
16384,4096,illm_di_softmax_u8,16,0.20412799715995789
16384,4096,illm_di_softmax_u8,17,0.2056960016489029
16384,4096,illm_di_softmax_u8,18,0.20473599433898926
16384,4096,illm_di_softmax_u8,19,0.2048639953136444
16384,4096,illm_di_softmax_u8,20,0.20422400534152985
16384,4096,intattention_idx_softmax_u8,1,0.1499519944190979
16384,4096,intattention_idx_softmax_u8,2,0.14825600385665894
16384,4096,intattention_idx_softmax_u8,3,0.14697599411010742
16384,4096,intattention_idx_softmax_u8,4,0.14614400267601013
16384,4096,intattention_idx_softmax_u8,5,0.14633600413799286
16384,4096,intattention_idx_softmax_u8,6,0.14771200716495514
16384,4096,intattention_idx_softmax_u8,7,0.14659200608730316
16384,4096,intattention_idx_softmax_u8,8,0.14694400131702423
16384,4096,intattention_idx_softmax_u8,9,0.14713600277900696
16384,4096,intattention_idx_softmax_u8,10,0.14604799449443817
16384,4096,intattention_idx_softmax_u8,11,0.1467519998550415
16384,4096,intattention_idx_softmax_u8,12,0.1467839926481247
16384,4096,intattention_idx_softmax_u8,13,0.14579200744628906
16384,4096,intattention_idx_softmax_u8,14,0.1462399959564209
16384,4096,intattention_idx_softmax_u8,15,0.14588800072669983
16384,4096,intattention_idx_softmax_u8,16,0.14537599682807922
16384,4096,intattention_idx_softmax_u8,17,0.14659200608730316
16384,4096,intattention_idx_softmax_u8,18,0.14585599303245544
16384,4096,intattention_idx_softmax_u8,19,0.1451520025730133
16384,4096,intattention_idx_softmax_u8,20,0.14534400403499603
16384,4096,memory_floor_1read_1write,1,0.06310400366783142
16384,4096,memory_floor_1read_1write,2,0.06294400244951248
16384,4096,memory_floor_1read_1write,3,0.06185600161552429
16384,4096,memory_floor_1read_1write,4,0.06252799928188324
16384,4096,memory_floor_1read_1write,5,0.06220800057053566
16384,4096,memory_floor_1read_1write,6,0.06137600168585777
16384,4096,memory_floor_1read_1write,7,0.06067200005054474
16384,4096,memory_floor_1read_1write,8,0.060256000608205795
16384,4096,memory_floor_1read_1write,9,0.0607680007815361
16384,4096,memory_floor_1read_1write,10,0.06054399907588959
16384,4096,memory_floor_1read_1write,11,0.06169600039720535
16384,4096,memory_floor_1read_1write,12,0.060575999319553375
16384,4096,memory_floor_1read_1write,13,0.06108799949288368
16384,4096,memory_floor_1read_1write,14,0.0607680007815361
16384,4096,memory_floor_1read_1write,15,0.061535999178886414
16384,4096,memory_floor_1read_1write,16,0.06185600161552429
16384,4096,memory_floor_1read_1write,17,0.061344001442193985
16384,4096,memory_floor_1read_1write,18,0.06060799956321716
16384,4096,memory_floor_1read_1write,19,0.06111999973654747
16384,4096,memory_floor_1read_1write,20,0.05987200140953064
32768,2048,fp_stream_softmax_u8,1,0.13891200721263885
32768,2048,fp_stream_softmax_u8,2,0.13424000144004822
32768,2048,fp_stream_softmax_u8,3,0.13289600610733032
32768,2048,fp_stream_softmax_u8,4,0.13126400113105774
32768,2048,fp_stream_softmax_u8,5,0.13017599284648895
32768,2048,fp_stream_softmax_u8,6,0.1308480054140091
32768,2048,fp_stream_softmax_u8,7,0.13100799918174744
32768,2048,fp_stream_softmax_u8,8,0.13011200726032257
32768,2048,fp_stream_softmax_u8,9,0.13279999792575836
