case_name,case_label,data_type,prefill_length,variant,variant_label,baseline_total_ms,variant_total_ms,speedup_vs_baseline_x,customsa_vs_flash_x,tensor_vector_ratio
tpuv5p_int8,TPUv5p INT8,int8,16384,customsa,FlashAttention-CustomSA,29.369196,8.128041142857144,3.6133178319119863,1.2209392640869645,32.0
tpuv5p_int8,TPUv5p INT8,int8,32768,flashattention,FlashAttention,115.89169199999999,38.795378285714285,2.987255109268391,1.227229416639757,32.0
tpuv5p_int8,TPUv5p INT8,int8,32768,customsa,FlashAttention-CustomSA,115.89169199999999,31.612164571428575,3.666047345101581,1.227229416639757,32.0
tpuv6e_fp16,TPUv6e FP16,fp16,2048,flashattention,FlashAttention,1.3762902857142856,0.5802102857142856,2.3720542699789635,1.2376137216853722,128.0
tpuv6e_fp16,TPUv6e FP16,fp16,2048,customsa,FlashAttention-CustomSA,1.3762902857142856,0.4688137142857142,2.935686913108344,1.2376137216853722,128.0
tpuv6e_fp16,TPUv6e FP16,fp16,4096,flashattention,FlashAttention,3.8971177142857147,1.3835382857142857,2.816776199491821,1.4762141676056133,128.0
tpuv6e_fp16,TPUv6e FP16,fp16,4096,customsa,FlashAttention-CustomSA,3.8971177142857147,0.9372205714285714,4.158164932664121,1.4762141676056133,128.0
tpuv6e_fp16,TPUv6e FP16,fp16,8192,flashattention,FlashAttention,13.936674285714286,4.634153142857143,3.0073831951789494,1.626656589531654,128.0
tpuv6e_fp16,TPUv6e FP16,fp16,8192,customsa,FlashAttention-CustomSA,13.936674285714286,2.8488822857142857,4.891979691684599,1.626656589531654,128.0
tpuv6e_fp16,TPUv6e FP16,fp16,16384,flashattention,FlashAttention,53.97934057142857,17.636612571428575,3.0606410586393133,1.6803928921898503,128.0
tpuv6e_fp16,TPUv6e FP16,fp16,16384,customsa,FlashAttention-CustomSA,53.97934057142857,10.495529142857142,5.143079480481921,1.6803928921898503,128.0
tpuv6e_fp16,TPUv6e FP16,fp16,32768,flashattention,FlashAttention,214.0499794285714,69.64645028571428,3.0733795986796593,1.6952984923408592,128.0
tpuv6e_fp16,TPUv6e FP16,fp16,32768,customsa,FlashAttention-CustomSA,214.0499794285714,41.08211657142857,5.210295800032781,1.6952984923408592,128.0
tpuv6e_int8,TPUv6e INT8,int8,2048,flashattention,FlashAttention,1.233805714285714,0.528278857142857,2.3355197687801246,1.2246690899842094,128.0
tpuv6e_int8,TPUv6e INT8,int8,2048,customsa,FlashAttention-CustomSA,1.233805714285714,0.4313645714285714,2.8602388698720866,1.2246690899842094,128.0
tpuv6e_int8,TPUv6e INT8,int8,4096,flashattention,FlashAttention,3.3481074285714287,1.2059474285714284,2.7763295059533517,1.5315096168918252,128.0
tpuv6e_int8,TPUv6e INT8,int8,4096,customsa,FlashAttention-CustomSA,3.3481074285714287,0.7874239999999999,4.251975338028088,1.5315096168918252,128.0
tpuv6e_int8,TPUv6e INT8,int8,8192,flashattention,FlashAttention,11.78170742857143,3.909453714285714,3.0136454578089396,1.7985850118090942,128.0
tpuv6e_int8,TPUv6e INT8,int8,8192,customsa,FlashAttention-CustomSA,11.78170742857143,2.1736274285714288,5.420297551321714,1.7985850118090942,128.0
tpuv6e_int8,TPUv6e INT8,int8,16384,flashattention,FlashAttention,45.468722285714286,14.737814857142856,3.0851739370085336,1.8907943408078007,128.0
tpuv6e_int8,TPUv6e INT8,int8,16384,customsa,FlashAttention-CustomSA,45.468722285714286,7.794509714285715,5.833429420503458,1.8907943408078007,128.0
tpuv6e_int8,TPUv6e INT8,int8,32768,flashattention,FlashAttention,180.1164217142857,58.05125942857143,3.1027134206434934,1.9172727699593601,128.0
tpuv6e_int8,TPUv6e INT8,int8,32768,customsa,FlashAttention-CustomSA,180.1164217142857,30.27803885714286,5.9487479543872315,1.9172727699593601,128.0
